id|version|current_holdings|previous_holdings|market_value|previous_market_value|pct_held|pct_portfolio|market_capitalization|q0_holding|q0_quarter|q0_source|q1_holding|q1_quarter|q1_source|q2_holding|q2_quarter|q2_source|q3_holding|q3_quarter|q3_source|q4_holding|q4_quarter|q4_source|q5_holding|q5_quarter|q5_source|q6_holding|q6_quarter|q6_source|q7_holding|q7_quarter|q7_source|q8_holding|q8_quarter|q8_source|p0_price|p1_price|p4_price|metro_area|firm_name|company_name|ticker|q0_market_value|qoq_net_change_flow|yoy_net_change_flow|qoq_inflow|qoq_outflow|yoy_inflow|yoy_outflow|qoq_new_positions|qoq_soldout_positions|qoq_increased_positions|qoq_decreased_positions|qoq_net_position_change|yoy_new_positions|yoy_soldout_positions|yoy_increased_positions|yoy_decreased_positions|yoy_net_position_change|new_positions|soldout_positions|increased_positions|decreased_positions|net_position_change|factset_security_id|factset_entity_id
570|1434811805|||||||681239550.0|132500|2015-03-31T00:00:00+01:00|funds|132500|2014-12-31T00:00:00+00:00|funds|132500|2014-09-30T00:00:00+01:00|funds|132500|2014-06-30T00:00:00+01:00|funds|132500|2014-03-31T00:00:00+01:00|funds|132500|2013-12-31T00:00:00+00:00|funds|132500|2013-09-30T00:00:00+01:00|funds||||||||14.46|12.45|Seattle/WA Metro|Rainier Investment Management LLC||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0||XQBP9V-S-US|002384-E
571|1434811805|||||||681239550.0|16900|2015-03-31T00:00:00+01:00|funds|91500|2014-12-31T00:00:00+00:00|funds|74600|2014-09-30T00:00:00+01:00|funds||||||||||||||||||||14.46||New York City/NY Metro|Water Island Capital LLC||||||||||0|0|0|-74600|-74600|0|0|0|0||0|0|0|0||XQBP9V-S-US|05G23H-E
572|1434811805|||||||681239550.0||||15119|2014-12-31T00:00:00+00:00|13f|15129|2014-09-30T00:00:00+01:00|13f|15246|2014-06-30T00:00:00+01:00|13f|14708|2014-03-31T00:00:00+01:00|13f|13835|2013-12-31T00:00:00+00:00|13f|11318|2013-09-30T00:00:00+01:00|13f|10937|2013-06-30T00:00:00+01:00|13f|||||14.46|12.45|San Francisco/CA Metro|Aperio Group LLC||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|05PG7S-E
573|1434811805|||||||681239550.0|||||||225100|2014-09-30T00:00:00+01:00|13f|237400|2014-06-30T00:00:00+01:00|13f|238400|2014-03-31T00:00:00+01:00|13f|387800|2013-12-31T00:00:00+00:00|13f|406838|2013-09-30T00:00:00+01:00|13f|340638|2013-06-30T00:00:00+01:00|13f|342238|2013-03-31T00:00:00+00:00|13f|||12.45|Sacramento/CA Metro|The California Public Employees Retirement System||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|000D7G-E
574|1434811805|||||||681239550.0|390425|2015-03-31T00:00:00+01:00|funds|390425|2014-12-31T00:00:00+00:00|funds|359300|2014-09-30T00:00:00+01:00|funds||||||||||||||||||||14.46||Dallas/Ft Worth TX Metro|Barrow, Hanley, Mewhinney & Strauss LLC||||||||||0|0|0|0|0|0|0|0|0||0|0|0|0||XQBP9V-S-US|000CM9-E
575|1434811805|||||||681239550.0||||61300|2014-12-31T00:00:00+00:00|13f|53700|2014-09-30T00:00:00+01:00|13f|77100|2014-06-30T00:00:00+01:00|13f|17064|2014-03-31T00:00:00+01:00|funds|28264|2013-12-31T00:00:00+00:00|funds|39800|2013-09-30T00:00:00+01:00|funds|150586|2013-06-30T00:00:00+01:00|13f|156386|2013-03-31T00:00:00+00:00|13f||14.46|12.45|Seattle/WA Metro|Russell Investment Management Co.||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|002H7Y-E
576|1434811805|||||||681239550.0|||||||20230|2014-09-30T00:00:00+01:00|13f||||||||||14557|2013-09-30T00:00:00+01:00|13f||||||||||New York City/NY Metro|Jefferies Investment Advisers LLC||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|05N4PC-E
577|1434811805|||||||681239550.0||||1|2014-12-31T00:00:00+00:00|13f|1|2014-09-30T00:00:00+01:00|13f|1|2014-06-30T00:00:00+01:00|13f|1|2014-03-31T00:00:00+01:00|13f|1|2013-12-31T00:00:00+00:00|13f|1|2013-09-30T00:00:00+01:00|13f|211|2013-06-30T00:00:00+01:00|13f|||||14.46|12.45|New York City/NY Metro|The Dreyfus Corp.||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|000HPH-E
578|1434811805|||||||681239550.0|66933|2015-03-31T00:00:00+01:00|funds|66933|2014-12-31T00:00:00+00:00|funds|66933|2014-09-30T00:00:00+01:00|funds|66933|2014-06-30T00:00:00+01:00|funds|68788|2014-03-31T00:00:00+01:00|funds|68788|2013-12-31T00:00:00+00:00|funds|63748|2013-09-30T00:00:00+01:00|funds|61714|2013-06-30T00:00:00+01:00|funds|58195|2013-03-31T00:00:00+00:00|funds||14.46|12.45|New York City/NY Metro|Teachers Advisors, Inc.||||||||||0|0|0|0|0|0|0|0|-1855|-1855|0|0|0|0||XQBP9V-S-US|002HP5-E
579|1434811805|||||||681239550.0||||15576|2014-12-31T00:00:00+00:00|13f|15576|2014-09-30T00:00:00+01:00|13f|22448|2014-06-30T00:00:00+01:00|13f|22448|2014-03-31T00:00:00+01:00|13f|22448|2013-12-31T00:00:00+00:00|13f|22448|2013-09-30T00:00:00+01:00|13f|22448|2013-06-30T00:00:00+01:00|13f|22448|2013-03-31T00:00:00+00:00|13f||14.46|12.45|Denver/CO Metro|Colorado Public Employees' Retirement Association||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|001MJ6-E
580|1434811805|||||||681239550.0|||||||247|2014-09-30T00:00:00+01:00|13f|||||||130|2013-12-31T00:00:00+00:00|13f|133|2013-09-30T00:00:00+01:00|13f|26374|2013-06-30T00:00:00+01:00|13f|||||||New York City/NY Metro|Ladenburg Thalmann Asset Management, Inc.||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|05GNTC-E
581|1434811805|||||||681239550.0||||||||||||||||3764737|2013-12-31T00:00:00+00:00|funds|3764737|2013-09-30T00:00:00+01:00|funds|6946000|2013-06-30T00:00:00+01:00|funds|6925000|2013-03-31T00:00:00+00:00|funds||||Boston/MA Metro|Fidelity Management & Research Co.||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|000KLZ-E
582|1434811805|||||||681239550.0||||5123|2014-12-31T00:00:00+00:00|funds|5826|2014-09-30T00:00:00+01:00|funds|5926|2014-06-30T00:00:00+01:00|funds|5223|2014-03-31T00:00:00+01:00|funds|6323|2013-12-31T00:00:00+00:00|funds|10556|2013-09-30T00:00:00+01:00|funds|8376|2013-06-30T00:00:00+01:00|funds|4620|2013-03-31T00:00:00+00:00|funds||14.46|12.45|Los Angeles/CA Metro|Los Angeles Capital Management & Equity Research, Inc.||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|05J6QK-E
583|1434811805|||||||681239550.0|1502900|2015-03-31T00:00:00+01:00|funds|1502900|2014-12-31T00:00:00+00:00|funds|1494814|2014-09-30T00:00:00+01:00|funds|1812328|2014-06-30T00:00:00+01:00|funds|1796827|2014-03-31T00:00:00+01:00|funds|1216251|2013-12-31T00:00:00+00:00|funds|593317|2013-09-30T00:00:00+01:00|funds|1397|2013-06-30T00:00:00+01:00|funds|||||14.46|12.45|New York City/NY Metro|JPMorgan Investment Management, Inc.||||||||||0|0|0|0|0|0|0|0|-293927|-293927|0|0|0|0||XQBP9V-S-US|000Q6S-E
584|1434811805|||||||681239550.0|2793563|2015-03-31T00:00:00+01:00|funds|2793563|2014-12-31T00:00:00+00:00|funds|2789452|2014-09-30T00:00:00+01:00|funds|2637911|2014-06-30T00:00:00+01:00|funds|2784690|2014-03-31T00:00:00+01:00|funds|2601555|2013-12-31T00:00:00+00:00|funds|2377041|2013-09-30T00:00:00+01:00|funds|2483995|2013-06-30T00:00:00+01:00|funds|2276719|2013-03-31T00:00:00+00:00|funds||14.46|12.45|Philadelphia/PA Metro|The Vanguard Group, Inc.||||||||||0|0|0|0|0|0|0|8873|0|8873|0|0|0|0||XQBP9V-S-US|002FYS-E
585|1434811805|||||||681239550.0||||122491|2014-12-31T00:00:00+00:00|13f|124691|2014-09-30T00:00:00+01:00|13f|139843|2014-06-30T00:00:00+01:00|13f|152235|2014-03-31T00:00:00+01:00|13f|242199|2013-12-31T00:00:00+00:00|13f|211100|2013-09-30T00:00:00+01:00|13f|58900|2013-06-30T00:00:00+01:00|13f|||||14.46|12.45|Dallas/Ft Worth TX Metro|HBK Investments LP||||||||||0|0|0|0||0|0|0|0||0|0|0|0||XQBP9V-S-US|0012ZV-E
